id,text
1,"Leather Sofa. A luxurious leather sofa with modern design, ideal for any living room. Made with premium quality leather for durability. Modern design with high comfort cushioning. Available in multiple seating options."
2,"Wooden Dining Table. A premium wooden dining table with a natural finish, perfect for family meals. Crafted from solid oak wood. Natural finish with water-resistant coating. Seats up to 6 people comfortably."
3,"Cotton Bed Sheet. Soft and comfortable cotton bed sheet, available in various colors and sizes. 100% pure cotton for extra softness. Breathable fabric suitable for all seasons. Available in multiple colors and sizes."
4,"Ceramic Vase. An elegant ceramic vase for home decor, designed to add sophistication to any room. Handcrafted with fine ceramic. Elegant design to enhance home décor. Durable and easy to clean."
5,"Wooden Bookshelf. A sturdy wooden bookshelf, ideal for storing books, decor, and more. Made from solid wood for long-lasting use. Spacious design with multiple shelves. Perfect for books, décor, and storage."
6,Office Chair. Ergonomic office chair with adjustable settings and high back support for all-day comfort. Ergonomic design for all-day comfort. Adjustable height and recline options. High back support with breathable mesh.
7,Recliner Chair. A comfortable recliner chair with reclining functionality and footrest. Comfortable reclining function with footrest. Upholstered with soft yet durable fabric. Sturdy frame with smooth recline mechanism.
8,"Coffee Table. A stylish coffee table made with glass and wood, perfect for any living room. Combination of glass and wood design. Compact yet stylish for modern living rooms. Durable tempered glass top for safety."
9,Velvet Sofa. A premium velvet sofa that brings a soft and elegant feel to any modern home. Crafted with plush velvet upholstery for luxurious comfort. Solid wood frame for durability and strength. Available in rich colors to complement your interior.
10,Sectional Sofa. A spacious sectional sofa designed for large living spaces and family gatherings. Modular design allows multiple seating configurations. High-density foam cushions for long-lasting comfort. Soft fabric upholstery with removable covers for easy cleaning.
11,Sleeper Sofa. A versatile sleeper sofa that transforms easily into a comfortable bed. Pull-out design ideal for small apartments or guest rooms. Thick mattress ensures restful sleep and support. Durable metal mechanism ensures smooth fold-out operation.
